"","p1","p2","cross","reciprocal","cross_numb","reciprocal_numb","Heading","Height","TestWeight","Yield","DON","FDK","merit","ranking","relativeProfit"
"1223","6","33","US16-IL-061-032 x IL19-10123","IL19-10123 x US16-IL-061-032","6 x 33","33 x 6",130.9,37.49,58.02,84.34,1.53,14.14,401.61,614,-8.16
"1224","13","33","US16-IL-062-031 x IL19-10123","IL19-10123 x US16-IL-062-031","13 x 33","33 x 13",129.89,36.73,58.91,85.5,1.38,11.36,415.98,160,6.21
"1225","29","33","US16-IL-062-109 x IL19-10123","IL19-10123 x US16-IL-062-109","29 x 33","33 x 29",131.59,36.62,58.11,86.42,1.41,12.13,411.01,317,1.24
"1226","18","33","US16-IL-063-063 x IL19-10123","IL19-10123 x US16-IL-063-063","18 x 33","33 x 18",130.48,35.85,57.88,83.55,1.38,15.08,399.95,644,-9.82
"1227","27","33","US16-IL-064-095 x IL19-10123","IL19-10123 x US16-IL-064-095","27 x 33","33 x 27",131.25,36.88,58.4,85.06,1.26,11.83,409.35,375,-0.42
"1228","34","33","US17-IL-108-039 x IL19-10123","IL19-10123 x US17-IL-108-039","34 x 33","33 x 34",133.38,36.61,58.08,87.53,1.33,13.72,407.75,423.5,-2.02
"1229","39","33","US17-IL-108-070 x IL19-10123","IL19-10123 x US17-IL-108-070","39 x 33","33 x 39",132.55,37.21,58.63,85.27,1.27,14.53,402.07,603,-7.7
"1230","37","23","IL19-13713 x IL19-12830","IL19-12830 x IL19-13713","37 x 23","23 x 37",131.95,36.71,58.35,83.8,0.94,6.76,408.99,389,-0.78
"1231","14","23","IL19-13942 x IL19-12830","IL19-12830 x IL19-13942","14 x 23","23 x 14",130.97,36.78,58.26,82.69,1,8.85,406.21,481,-3.56
"1232","7","23","IL19-13978 x IL19-12830","IL19-12830 x IL19-13978","7 x 23","23 x 7",131.42,37.01,58.45,83.16,1.13,10.51,403.05,575,-6.72
"1233","4","23","IL19-14617 x IL19-12830","IL19-12830 x IL19-14617","4 x 23","23 x 4",130.8,37.02,58.27,86.42,1.31,12.36,416.27,153,6.5
"1234","1","23","IL19-14856 x IL19-12830","IL19-12830 x IL19-14856","1 x 23","23 x 1",131.2,37.62,58.13,87.28,1.12,9.54,423.56,57,13.79
"1235","38","23","IL19-15327 x IL19-12830","IL19-12830 x IL19-15327","38 x 23","23 x 38",133.16,37.89,57.99,85.65,1.11,8.78,407.48,433.5,-2.29
"1236","8","23","IL19-18153 x IL19-12830","IL19-12830 x IL19-18153","8 x 23","23 x 8",133.13,36.43,58.33,86.34,1.1,10.72,409.64,361,-0.13
"1237","30","23","IL19-18837 x IL19-12830","IL19-12830 x IL19-18837","30 x 23","23 x 30",133.53,36.35,58.14,84.68,1.03,9.36,402.42,596,-7.35
"1238","32","23","IL19-21760 x IL19-12830","IL19-12830 x IL19-21760","32 x 23","23 x 32",132.58,36.16,57.95,84.41,1.03,12.61,402.65,587,-7.12
"1239","10","23","IL19-22757 x IL19-12830","IL19-12830 x IL19-22757","10 x 23","23 x 10",132.71,37.25,58.83,84.56,1.17,11.47,401.83,609,-7.94
"1240","31","23","IL19-23833 x IL19-12830","IL19-12830 x IL19-23833","31 x 23","23 x 31",133.52,37.6,58.55,85.97,1.15,12.35,404.11,544.5,-5.66
"1241","28","23","IL19-27565 x IL19-12830","IL19-12830 x IL19-27565","28 x 23","23 x 28",133.64,38,59.18,84.1,0.92,7.77,402.08,602,-7.69
"1242","35","23","IL19-3505 x IL19-12830","IL19-12830 x IL19-3505","35 x 23","23 x 35",132.21,37.53,58.24,85.38,1.02,8.65,412.44,257,2.67
"1243","20","23","IL19-3528 x IL19-12830","IL19-12830 x IL19-3528","20 x 23","23 x 20",132.2,37.77,58.24,84.98,1.05,9.54,409.54,368,-0.23
"1244","19","23","IL19-6946 x IL19-12830","IL19-12830 x IL19-6946","19 x 23","23 x 19",132.81,36.98,58.24,86.21,1.41,13.83,403.03,576,-6.74
"1245","6","23","US16-IL-061-032 x IL19-12830","IL19-12830 x US16-IL-061-032","6 x 23","23 x 6",132.68,37.77,58.23,84.15,1.46,14.07,393.49,725,-16.28
"1246","13","23","US16-IL-062-031 x IL19-12830","IL19-12830 x US16-IL-062-031","13 x 23","23 x 13",131.66,37.01,59.12,85.31,1.32,11.29,407.87,421,-1.9
"1247","29","23","US16-IL-062-109 x IL19-12830","IL19-12830 x US16-IL-062-109","29 x 23","23 x 29",133.37,36.91,58.31,86.23,1.34,12.05,402.91,581,-6.86
"1248","18","23","US16-IL-063-063 x IL19-12830","IL19-12830 x US16-IL-063-063","18 x 23","23 x 18",132.26,36.13,58.09,83.36,1.32,15,393.82,722,-15.95
"1249","27","23","US16-IL-064-095 x IL19-12830","IL19-12830 x US16-IL-064-095","27 x 23","23 x 27",133.03,37.16,58.61,84.88,1.19,11.76,401.23,625,-8.54
"1250","34","23","US17-IL-108-039 x IL19-12830","IL19-12830 x US17-IL-108-039","34 x 23","23 x 34",135.16,36.89,58.29,87.34,1.26,13.64,399.67,648,-10.1
"1251","39","23","US17-IL-108-070 x IL19-12830","IL19-12830 x US17-IL-108-070","39 x 23","23 x 39",134.32,37.49,58.84,85.09,1.21,14.46,393.96,721,-15.81
"1252","14","37","IL19-13942 x IL19-13713","IL19-13713 x IL19-13942","14 x 37","37 x 14",129.67,36,58.1,81.97,0.72,3.75,416.97,134,7.2
"1253","7","37","IL19-13978 x IL19-13713","IL19-13713 x IL19-13978","7 x 37","37 x 7",130.12,36.23,58.29,82.44,0.85,5.41,413.89,209,4.12
"1254","4","37","IL19-14617 x IL19-13713","IL19-13713 x IL19-14617","4 x 37","37 x 4",129.5,36.24,58.11,85.69,1.03,7.25,427.46,28,17.69
"1255","1","37","IL19-14856 x IL19-13713","IL19-13713 x IL19-14856","1 x 37","37 x 1",129.9,36.85,57.97,86.55,0.84,4.44,434.33,6,24.56
"1256","38","37","IL19-15327 x IL19-13713","IL19-13713 x IL19-15327","38 x 37","37 x 38",131.86,37.11,57.83,84.92,0.83,3.68,415.84,163,6.07
"1257","8","37","IL19-18153 x IL19-13713","IL19-13713 x IL19-18153","8 x 37","37 x 8",131.83,35.66,58.17,85.62,0.82,5.62,420.79,84,11.02
"1258","30","37","IL19-18837 x IL19-13713","IL19-13713 x IL19-18837","30 x 37","37 x 30",132.23,35.57,57.98,83.96,0.75,4.26,413.01,236,3.24
"1259","32","37","IL19-21760 x IL19-13713","IL19-13713 x IL19-21760","32 x 37","37 x 32",131.27,35.38,57.79,83.69,0.75,7.51,410.94,319,1.17
"1260","10","37","IL19-22757 x IL19-13713","IL19-13713 x IL19-22757","10 x 37","37 x 10",131.41,36.48,58.67,83.83,0.89,6.37,412.82,245,3.05
"1261","31","37","IL19-23833 x IL19-13713","IL19-13713 x IL19-23833","31 x 37","37 x 31",132.21,36.83,58.39,85.24,0.87,7.25,415.24,177,5.47
"1262","28","37","IL19-27565 x IL19-13713","IL19-13713 x IL19-27565","28 x 37","37 x 28",132.34,37.22,59.02,83.38,0.64,2.67,412.96,239,3.19
"1263","35","37","IL19-3505 x IL19-13713","IL19-13713 x IL19-3505","35 x 37","37 x 35",130.91,36.75,58.08,84.65,0.74,3.55,423.46,59,13.69
"1264","20","37","IL19-3528 x IL19-13713","IL19-13713 x IL19-3528","20 x 37","37 x 20",130.9,36.99,58.08,84.25,0.77,4.44,420.54,87.5,10.77
"1265","19","37","IL19-6946 x IL19-13713","IL19-13713 x IL19-6946","19 x 37","37 x 19",131.51,36.2,58.08,85.49,1.13,8.72,414.23,197,4.46
"1266","6","37","US16-IL-061-032 x IL19-13713","IL19-13713 x US16-IL-061-032","6 x 37","37 x 6",131.38,36.99,58.07,83.42,1.18,8.97,404.5,533,-5.27
